,8h,12h,24h,72h,Compound
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,1,0,1,1,0.5
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,1,0,1,1,0.5
REACTOME_SELENOAMINO_ACID_METABOLISM,1,0,1,1,0.5
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,1,0,1,1,0.5
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,1,0,1,1,0.5
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,1,0,0,1,0.5
REACTOME_RRNA_PROCESSING,1,0,0,1,0.5
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,1,0,0,1,0.5
REACTOME_TRANSLATION,1,0,0,1,0.5
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,1,0,0,1,0.5
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,1,0,0,1,0.5
REACTOME_INFLUENZA_INFECTION,1,0,0,1,0.5
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,1,0,0,1,0.5
REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION,0,0,1,0,0.5
REACTOME_FIBRONECTIN_MATRIX_FORMATION,0,0,0,1,0.5
REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY,1,0,0,0,0.5
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,0,0,0,1,0.5
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,0,0,0,1,0.5
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,1,0,0,1,0.5
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,1,0,0,0,0.5
REACTOME_METABOLISM_OF_RNA,0,0,0,1,0.5
REACTOME_ATTENUATION_PHASE,1,0,0,0,0.5
REACTOME_NEGATIVE_REGULATION_OF_MET_ACTIVITY,0,0,0,1,0.5
REACTOME_HSF1_ACTIVATION,1,0,0,0,0.5
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,0,0,0,1,0.5
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,1,0,0,0,0.5
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,0,0,0,1,0.5
REACTOME_INFECTIOUS_DISEASE,0,0,0,1,0.5
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,0,0,0,1,0.5
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,1,0,0,0,0.5
REACTOME_IRON_UPTAKE_AND_TRANSPORT,0,0,0,1,0.5
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,1,1,1,1,1
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,1,0,1,1,1
REACTOME_CELL_CYCLE_MITOTIC,0,1,1,1,1
REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY,1,1,0,1,1
REACTOME_CELL_CYCLE,0,1,1,1,1
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,1,0,1,1,1
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0,0,1,1,1
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,1,1,0,0,1
REACTOME_METABOLISM_OF_STEROIDS,1,1,0,0,1
REACTOME_CHOLESTEROL_BIOSYNTHESIS,1,1,0,0,1
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,0,1,0,1,1
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,1,0,0,1,1
REACTOME_METABOLISM_OF_PORPHYRINS,0,1,1,0,1
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,1,1,0,0,1
REACTOME_NEUTROPHIL_DEGRANULATION,0,0,1,1,1
REACTOME_SELENOAMINO_ACID_METABOLISM,1,0,0,1,1
REACTOME_ATTENUATION_PHASE,1,1,0,0,1
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,1,1,0,0,1
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,1,0,0,1,1
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,0,0,1,1,1
REACTOME_HSF1_ACTIVATION,1,1,0,0,1
REACTOME_INNATE_IMMUNE_SYSTEM,0,0,1,1,1
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,0,0,0,1,1
REACTOME_GLUTATHIONE_CONJUGATION,0,0,0,1,1
REACTOME_ARACHIDONIC_ACID_METABOLISM,0,0,0,1,1
REACTOME_BIOLOGICAL_OXIDATIONS,0,0,0,1,1
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6,0,0,0,1,1
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR,1,0,0,0,1
REACTOME_CELL_CYCLE_CHECKPOINTS,0,0,0,1,1
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,0,0,0,1,1
REACTOME_RHO_GTPASE_EFFECTORS,0,0,0,1,1
REACTOME_TRYPTOPHAN_CATABOLISM,1,0,0,0,1
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,0,0,0,1,1
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,0,1,0,0,1
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,0,0,0,1,1
REACTOME_M_PHASE,0,0,0,1,1
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,0,1,0,0,1
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,0,1,0,0,1
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,0,0,0,1,1
REACTOME_METABOLISM_OF_LIPIDS,0,0,0,1,1
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION,0,0,0,1,1
REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES,0,0,0,1,1
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,0,0,0,1,1
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,0,0,0,1,1
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,0,0,0,1,1
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,0,0,0,1,1
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,0,0,0,1,1
REACTOME_MITOTIC_PROMETAPHASE,0,0,0,1,1
REACTOME_TRANSLATION,0,0,0,1,1
REACTOME_MITOTIC_SPINDLE_CHECKPOINT,0,0,0,1,1
REACTOME_ECM_PROTEOGLYCANS,1,0,0,0,1
REACTOME_UPTAKE_AND_FUNCTION_OF_DIPHTHERIA_TOXIN,1,0,0,0,1
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS,0,1,0,0,1
REACTOME_IRON_UPTAKE_AND_TRANSPORT,0,0,0,1,1
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,1,0,0,0,1
