,8h,12h,24h,72h,Compound
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,0,0,1,1,50
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,0,0,1,0,50
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,0,0,1,0,50
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,0,0,1,0,50
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,0,0,1,0,50
REACTOME_SCAVENGING_BY_CLASS_F_RECEPTORS,0,0,0,1,50
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION,0,0,0,1,50
REACTOME_DEUBIQUITINATION,0,0,1,0,50
REACTOME_UPTAKE_AND_FUNCTION_OF_DIPHTHERIA_TOXIN,0,0,0,1,50
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,0,0,1,0,50
REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY,0,0,1,0,50
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,0,0,1,0,50
REACTOME_RHOBTB2_GTPASE_CYCLE,0,0,0,1,50
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,0,0,0,1,50
REACTOME_SELENOAMINO_ACID_METABOLISM,0,0,1,0,50
REACTOME_INFLUENZA_INFECTION,0,0,1,0,50
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,0,0,1,0,50
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0,0,1,0,50
REACTOME_TRANSLATION,0,0,1,0,50
REACTOME_METABOLISM_OF_RNA,0,0,1,0,50
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,0,0,0,1,50
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,0,0,1,0,50
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,1,0,1,1,100
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,1,0,1,0,100
REACTOME_INFLUENZA_INFECTION,1,0,1,0,100
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,1,0,1,0,100
REACTOME_SELENOAMINO_ACID_METABOLISM,1,0,1,0,100
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,0,0,1,0,100
REACTOME_RHOBTB2_GTPASE_CYCLE,0,0,0,1,100
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,1,0,0,0,100
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,0,0,1,0,100
REACTOME_TRANSLATION,1,0,0,0,100
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,0,0,0,1,100
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,0,0,1,0,100
REACTOME_SCAVENGING_BY_CLASS_F_RECEPTORS,0,0,0,1,100
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,1,0,0,0,100
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION,0,0,0,1,100
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,1,0,0,0,100
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,1,0,0,0,100
REACTOME_LYSOSOME_VESICLE_BIOGENESIS,0,0,1,0,100
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,1,0,0,0,100
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,1,0,0,0,100
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,0,0,1,0,100
REACTOME_METABOLISM_OF_RNA,0,0,1,0,100
REACTOME_UPTAKE_AND_FUNCTION_OF_DIPHTHERIA_TOXIN,0,0,0,1,100
REACTOME_MRNA_SPLICING,0,0,1,0,100
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,1,0,0,0,100
